[02-May-2023 17:37:42 UTC] PHP Warning:  Undefined property: WP_Ajax_Upgrader_Skin::$api in C:\Users\Boris\Local Sites\test1\app\public\wp-admin\includes\class-theme-upgrader.php on line 160
[02-May-2023 17:53:04 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 17:53:04 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 17:53:04 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 17:53:04 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 17:53:04 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 17:53:04 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:00:22 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:00:22 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:00:22 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:00:22 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:00:22 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:00:22 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:05:53 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:05:53 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:05:53 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:05:53 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:05:53 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:05:53 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:07:55 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:07:55 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:07:55 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:07:55 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:07:55 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:07:55 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:09:58 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:09:58 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:09:58 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:09:58 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:09:58 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:09:58 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:14:53 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:14:53 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:14:53 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:14:53 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:14:53 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:14:53 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:19:41 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:19:41 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:19:41 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:19:41 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:19:41 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:19:41 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:22:01 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:22:01 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:22:01 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:22:01 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:22:01 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:22:01 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:22:31 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:22:31 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:22:31 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:22:31 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:22:31 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
[02-May-2023 18:22:31 UTC] PHP Warning:  Array to string conversion in C:\Users\Boris\Local Sites\test1\app\public\wp-includes\formatting.php on line 1098
